---,Name,Type
1,Alpha,Noun
2,Bravo,Noun
3,Charlie,Noun
4,Delta,Noun
5,Echo,Noun
6,Foxtrot,Noun
7,Adorable,Adjective
8,Adventurous,Adjective
9,Aggressive,Adjective
10,Alert,Adjective
11,Attractive,Adjective
12,Average,Adjective
13,Beautiful,Adjective
14,Blue-Eyed,Adjective
15,Bloody,Adjective
16,Blushing,Adjective
17,Bright,Adjective
18,Clean,Adjective
19,Clear,Adjective
20,Cloudy,Adjective
21,Colorful,Adjective
22,Crowded,Adjective
23,Cute,Adjective
24,Dark,Adjective
25,Drab,Adjective
26,Distinct,Adjective
27,Dull,Adjective
28,Elegant,Adjective
29,Excited,Adjective
30,Fancy,Adjective
31,Filthy,Adjective
32,Glamorous,Adjective
33,Gleaming,Adjective
34,Gorgeous,Adjective
35,Graceful,Adjective
36,Grotesque,Adjective
37,Handsome,Adjective
38,Homely,Adjective
39,Light,Adjective
40,Long,Adjective
41,Magnificent,Adjective
42,Misty,Adjective
43,Motionless,Adjective
44,Muddy,Adjective
45,Old-Fashioned,Adjective
46,Plain,Adjective
47,Poised,Adjective
48,Precious,Adjective
49,Quaint,Adjective
50,Shiny,Adjective
51,Smoggy,Adjective
52,Sparkling,Adjective
53,Spotless,Adjective
54,Stormy,Adjective
55,Strange,Adjective
56,Ugly,Adjective
57,Ugliest,Adjective
58,Unsightly,Adjective
59,Unusual,Adjective
60,Wide-Eyed,Adjective
61,Alive,Adjective
62,Annoying,Adjective
63,Bad,Adjective
64,Better,Adjective
65,Beautiful,Adjective
66,Brainy,Adjective
67,Breakable,Adjective
68,Busy,Adjective
69,Careful,Adjective
70,Cautious,Adjective
71,Clever,Adjective
72,Clumsy,Adjective
73,Concerned,Adjective
74,Crazy,Adjective
75,Curious,Adjective
76,Dead,Adjective
77,Different,Adjective
78,Difficult,Adjective
79,Doubtful,Adjective
80,Easy,Adjective
81,Expensive,Adjective
82,Famous,Adjective
83,Fragile,Adjective
84,Frail,Adjective
85,Gifted,Adjective
86,Helpful,Adjective
87,Helpless,Adjective
88,Horrible,Adjective
89,Important,Adjective
90,Impossible,Adjective
91,Inexpensive,Adjective
92,Innocent,Adjective
93,Inquisitive,Adjective
94,Modern,Adjective
95,Mushy,Adjective
96,Odd,Adjective
97,Open,Adjective
98,Outstanding,Adjective
99,Poor,Adjective
100,Powerful,Adjective
101,Prickly,Adjective
102,Puzzled,Adjective
103,Real,Adjective
104,Rich,Adjective
105,Shy,Adjective
106,Sleepy,Adjective
107,Stupid,Adjective
108,Super,Adjective
109,Talented,Adjective
110,Tame,Adjective
111,Tender,Adjective
112,Tough,Adjective
113,Uninterested,Adjective
114,Vast,Adjective
115,Wandering,Adjective
116,Wild,Adjective
117,Wrong,Adjective
118,,Adjective
119,Angry,Adjective
120,Annoyed,Adjective
121,Anxious,Adjective
122,Arrogant,Adjective
123,Ashamed,Adjective
124,Awful,Adjective
125,Bad,Adjective
126,Bewildered,Adjective
